ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,notes,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,apnea,tags
2024-05-01T20:59:59-04:00,"Tuesday, Apr 30, 2024","Wednesday, May 1, 2024",2024-05-01 0:45:00,2024-05-01 07:18:00,06:33:00,00:30:00,00:00:00,1,06:33:00,,08:19:08,92.4,96.0,04:40:36,05:32:28,02:01:00,02:02:41,66.2,65.2,82.9,84.8,68.0,69.8,90,123,75,93,95.5,94,97,,,,,
2024-05-02T20:59:59-04:00,"Wednesday, May 1, 2024","Thursday, May 2, 2024",2024-05-01 23:52:00,2024-05-02 07:01:00,07:09:00,00:00:00,00:00:00,1,07:09:00,,08:04:00,100.0,97.1,04:59:39,05:26:41,02:13:08,02:01:02,66.8,65.8,86.3,84.1,59.0,67.7,80,107,59,75,96.0,94,98,,,,,
2024-05-03T20:59:59-04:00,"Thursday, May 2, 2024","Friday, May 3, 2024",2024-05-02 22:54:00,2024-05-03 07:45:00,08:51:00,00:14:00,00:00:00,1,08:51:00,,07:48:17,97.4,96.8,06:12:54,05:20:55,02:42:29,02:04:35,65.3,65.8,87.7,84.5,69.0,68.4,49,89,43,64,95.5,93,96,,,,,
2024-05-04T20:59:59-04:00,"Friday, May 3, 2024","Saturday, May 4, 2024",2024-05-03 22:45:00,2024-05-04 08:00:00,09:15:00,00:13:00,00:00:00,1,09:15:00,,07:47:51,97.7,97.5,06:15:47,05:25:29,02:30:33,02:13:07,71.5,66.9,92.8,86.1,69.0,69.4,103,84,25,59,96.5,95,98,,,,,
2024-05-05T20:59:59-04:00,"Saturday, May 4, 2024","Sunday, May 5, 2024",2024-05-05 0:31:00,2024-05-05 07:00:00,06:29:00,00:21:00,00:00:00,1,06:29:00,Visiting Lugano,07:27:17,94.6,97.4,04:46:24,05:22:15,02:41:55,02:24:49,64.1,66.3,86.8,86.1,63.0,64.9,59,78,57,57,95.1,91,97,,,,,
2024-05-06T20:59:59-04:00,"Sunday, May 5, 2024","Monday, May 6, 2024",2024-05-06 0:14:00,2024-05-06 07:45:00,07:31:00,00:00:00,00:00:00,1,07:31:00,,07:28:17,100.0,97.4,06:14:12,05:30:11,03:45:30,02:35:10,62.5,66.2,83.5,86.1,74.0,67.0,88,85,61,61,96.9,96,100,,,,,
2024-05-07T20:59:59-04:00,"Monday, May 6, 2024","Tuesday, May 7, 2024",2024-05-07 0:03:00,2024-05-07 07:26:00,07:23:00,00:27:00,00:00:00,1,07:23:00,,07:20:51,93.9,96.6,04:46:22,05:25:08,01:54:46,02:32:45,64.8,65.9,77.1,85.3,64.0,66.6,93,80,75,56,96.5,95,98,,,,,
2024-05-08T20:59:59-04:00,"Tuesday, May 7, 2024","Wednesday, May 8, 2024",2024-05-07 22:45:00,2024-05-08 08:15:00,09:30:00,00:20:00,00:00:00,1,09:30:00,,07:47:34,96.5,97.1,06:22:45,05:39:43,02:17:30,02:35:07,62.4,65.3,76.3,84.4,75.0,67.6,99,82,81,57,97.3,96,99,,,,,
2024-05-09T20:59:59-04:00,"Wednesday, May 8, 2024","Thursday, May 9, 2024",2024-05-08 23:38:00,2024-05-09 07:30:00,07:52:00,00:01:00,00:00:00,1,07:52:00,,07:53:34,99.8,97.1,05:04:33,05:40:25,00:47:06,02:22:49,65.8,65.2,88.6,84.7,64.0,68.3,116,87,99,63,96.7,95,98,,,,,
2024-05-10T20:59:59-04:00,"Thursday, May 9, 2024","Friday, May 10, 2024",2024-05-09 23:34:00,2024-05-10 08:15:00,08:41:00,00:25:00,00:00:00,1,08:41:00,,07:50:34,95.2,96.8,06:07:37,05:39:40,02:15:16,02:18:56,62.3,64.8,86.3,84.5,65.0,67.7,85,92,67,66,95.8,95,97,,,,,
