ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,notes,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,apnea,tags
2024-06-01T20:59:59-04:00,"Friday, May 31, 2024","Saturday, Jun 1, 2024",2024-06-01 1:07:00,2024-06-01 08:57:00,07:50:00,00:21:00,00:00:00,1,07:29:00,,07:39:42,95.5,99.3,05:07:55,05:35:17,02:24:50,02:35:25,61.1,61.5,83.2,80.0,63.0,61.9,160,94,100,68,95.9,93,99,,,,,
2024-06-02T20:59:59-04:00,"Saturday, Jun 1, 2024","Sunday, Jun 2, 2024",2024-06-02 0:44:00,2024-06-02 08:45:00,08:45:00,00:27:00,00:00:00,2,08:18:00,,07:43:25,94.4,98.5,06:30:02,05:41:19,03:20:04,02:38:43,60.9,61.4,80.9,79.7,59.0,61.7,72,91,54,70,95.8,94,98,,,,,
2024-06-03T20:59:59-04:00,"Sunday, Jun 2, 2024","Monday, Jun 3, 2024",2024-06-03 0:08:00,2024-06-03 08:00:00,07:52:00,00:00:00,00:00:00,1,07:52:00,,07:48:08,100.0,98.5,05:41:54,05:41:23,03:11:45,02:43:06,60.3,61.0,80.0,79.5,60.0,60.6,65,83,63,66,95.7,94,97,,,,,
2024-06-04T20:59:59-04:00,"Monday, Jun 3, 2024","Tuesday, Jun 4, 2024",2024-06-04 0:30:00,2024-06-04 07:30:00,07:00:00,00:00:00,00:00:00,1,07:00:00,On call (early meetings),07:45:08,100.0,98.5,05:35:39,05:41:24,02:45:00,02:42:47,61.2,61.1,80.6,80.1,63.0,61.9,89,85,82,69,95.8,94,97,,,,,
2024-06-05T20:59:59-04:00,"Tuesday, Jun 4, 2024","Wednesday, Jun 5, 2024",2024-06-04 23:57:00,2024-06-05 07:45:00,07:48:00,00:15:00,00:00:00,1,07:33:00,On call (early meetings),07:44:42,96.8,98.1,06:06:54,05:46:51,03:09:58,02:41:41,64.2,61.5,85.3,81.4,67.0,62.0,47,85,34,67,96.6,95,97,,,,,
2024-06-06T20:59:59-04:00,"Wednesday, Jun 5, 2024","Thursday, Jun 6, 2024",2024-06-05 23:30:00,2024-06-06 07:45:00,08:15:00,00:01:00,00:00:00,1,08:14:00,On call (early meetings),07:50:51,99.8,98.1,06:03:33,05:52:18,02:34:22,02:46:34,64.0,61.9,84.0,82.1,64.0,62.7,59,83,51,65,96.2,94,98,,,,,
2024-06-07T20:59:59-04:00,"Thursday, Jun 6, 2024","Friday, Jun 7, 2024",2024-06-07 0:06:00,2024-06-07 07:30:00,07:24:00,00:11:00,00:00:00,1,07:13:00,On call (early meetings),07:39:51,97.5,97.7,05:33:24,05:48:29,02:14:23,02:48:37,63.2,62.1,82.0,82.3,60.0,62.3,102,85,73,65,96.5,95,98,,,,,
2024-06-08T20:59:59-04:00,"Friday, Jun 7, 2024","Saturday, Jun 8, 2024",2024-06-08 0:22:00,2024-06-08 09:45:00,09:23:00,00:01:00,00:00:00,1,09:22:00,,07:56:00,99.8,98.3,06:11:39,05:57:35,02:16:42,02:47:27,64.4,62.6,75.4,81.2,64.0,62.4,142,82,78,62,96.1,94,97,,,,,
2024-06-09T20:59:59-04:00,"Saturday, Jun 8, 2024","Sunday, Jun 9, 2024",2024-06-09 1:19:00,2024-06-09 09:17:00,07:58:00,00:00:00,00:00:00,1,07:58:00,,07:53:08,100.0,99.1,05:56:18,05:52:46,01:44:34,02:33:49,61.4,62.7,75.8,80.4,59.0,62.4,130,91,82,66,96.4,96,97,,,,,
2024-06-10T20:59:59-04:00,"Sunday, Jun 9, 2024","Monday, Jun 10, 2024",2024-06-10 0:13:00,2024-06-10 07:28:00,07:15:00,00:00:00,00:00:00,1,07:15:00,On call (early meetings),07:47:51,100.0,99.1,05:24:11,05:50:14,02:15:00,02:25:42,62.4,63.0,81.8,80.7,58.0,62.1,78,92,60,66,95.1,91,97,,,,,
